id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
1,César A. Collazos,Collazos C.,8568805300,9-s2.0-8568805300,0000-0002-7099-8131,295,29/11/2005,1159,1431,18,319,update,"Computer Science (miscellaneous), Biotechnology, Education, Analytical Chemistry, Modeling and Simulation, Electrical and Electronic Engineering, Decision Sciences (all), Psychology (all), Signal Processing, Materials Science (all), Biochemistry, Mathematics (all), Process Chemistry and Technology, Computer Graphics and Computer-Aided Design, Information Systems, Human-Computer Interaction, Software, Artificial Intelligence, Engineering (all), Management of Technology and Innovation, Theoretical Computer Science, Computer Science Applications, Architecture, Computer Networks and Communications, Social Sciences (all), Sociology and Political Science, Control and Systems Engineering, Atomic and Molecular Physics, and Optics, Media Technology, Computational Mathematics, Fluid Flow and Transfer Processes, Biochemistry, Genetics and Molecular Biology (all), Communication, Applied Mathematics, Strategy and Management, Chemical Engineering (all), Health Informatics, Engineering (miscellaneous), Computer Science (all), Computational Theory and Mathematics, Information Systems and Management, Law, Arts and Humanities (miscellaneous), Hardware and Architecture, Instrumentation, Computer Vision and Pattern Recognition, Environmental Engineering",2000-2021,Universidad del Cauca,""
2,Juan Carlos Corrales,Corrales J.,15135119500,9-s2.0-15135119500,0000-0002-5608-9097,102,22/12/2006,446,599,12,112,update,"Statistics, Probability and Uncertainty, Management Information Systems, Computer Science Applications, Biochemistry, Genetics and Molecular Biology (all), Agronomy and Crop Science, Renewable Energy, Sustainability and the Environment, Analytical Chemistry, Industrial and Manufacturing Engineering, Atmospheric Science, Process Chemistry and Technology, Biochemistry, Immunology and Microbiology (all), Earth-Surface Processes, Mechanics of Materials, Environmental Engineering, Management of Technology and Innovation, Modeling and Simulation, Building and Construction, Information Systems, Materials Science (all), Computer Vision and Pattern Recognition, Theoretical Computer Science, Strategy and Management, Water Science and Technology, Electrical and Electronic Engineering, Computers in Earth Sciences, Fluid Flow and Transfer Processes, Instrumentation, Statistics and Probability, Hardware and Architecture, Biomaterials, Computer Science (all), Forestry, Mathematics (all), Control and Systems Engineering, Medicine (all), Computer Science (miscellaneous), Engineering (all), Management, Monitoring, Policy and Law, Signal Processing, Physics and Astronomy (miscellaneous), Management Science and Operations Research, Environmental Science (miscellaneous), Energy Engineering and Power Technology, Environmental Science (all), Artificial Intelligence, Pharmacology, Toxicology and Pharmaceutics (all), Library and Information Sciences, Business, Management and Accounting (all), Human-Computer Interaction, Software, Horticulture, Computer Networks and Communications, Control and Optimization, Business and International Management, Chemistry (miscellaneous), Information Systems and Management, Atomic and Molecular Physics, and Optics, Geography, Planning and Development, Safety, Risk, Reliability and Quality",2006-2022,Universidad del Cauca,""
3,Diego M. Lopez,Lopez D.,22941628100,9-s2.0-22941628100,0000-0001-9425-4375,88,05/11/2007,439,497,10,129,update,"Media Technology, Psychiatry and Mental Health, Software, Biophysics, Mathematics (all), Advanced and Specialized Nursing, Bioengineering, Health Informatics, Applied Microbiology and Biotechnology, Computer Science (all), Artificial Intelligence, Cognitive Neuroscience, Condensed Matter Physics, Pollution, Medicine (miscellaneous), Instrumentation, Information Systems, Health, Toxicology and Mutagenesis, Fluid Flow and Transfer Processes, Multidisciplinary, Theoretical Computer Science, Atomic and Molecular Physics, and Optics, Applied Mathematics, Electrical and Electronic Engineering, Cardiology and Cardiovascular Medicine, Analytical Chemistry, Biotechnology, Computer Science Applications, Materials Science (all), Public Health, Environmental and Occupational Health, Electronic, Optical and Magnetic Materials, Medicine (all), Engineering (all), Health Information Management, Biomedical Engineering, Process Chemistry and Technology, Psychology (all), Nursing (all), Neurology, Biochemistry",2005-2021,Universidad del Cauca,Telematics Department
4,J. E. Rodríguez-Páez,Rodríguez-Páez J.,6507572648,9-s2.0-6507572648,0000-0002-7694-6746,87,03/12/2005,838,935,15,141,update,"Industrial and Manufacturing Engineering, Pollution, Surfaces, Coatings and Films, Engineering (all), Chemical Engineering (miscellaneous), Mechanical Engineering, Biochemistry, Materials Science (miscellaneous), Waste Management and Disposal, Applied Microbiology and Biotechnology, Catalysis, Condensed Matter Physics, Materials Science (all), Electronic, Optical and Magnetic Materials, Chemistry (all), Process Chemistry and Technology, Metals and Alloys, Agronomy and Crop Science, Colloid and Surface Chemistry, Cell Biology, Building and Construction, Biotechnology, Chemical Engineering (all), Ceramics and Composites, Surfaces and Interfaces, Mechanics of Materials, Atomic and Molecular Physics, and Optics, Multidisciplinary, Materials Chemistry, Electrical and Electronic Engineering, Physics and Astronomy (all), Polymers and Plastics, Fluid Flow and Transfer Processes, Food Science, Physical and Theoretical Chemistry, Bioengineering",2001-2021,Universidad del Cauca,""
5,Carlos Cobos,Cobos C.,6701647223,9-s2.0-6701647223,0000-0002-6263-1911,74,03/12/2005,406,479,10,104,update,"Materials Science (all), Computer Science Applications, Control and Optimization, Building and Construction, Modeling and Simulation, Hardware and Architecture, Management Information Systems, Biochemistry, Genetics and Molecular Biology (all), Computer Science (all), Medicine (all), Artificial Intelligence, Theoretical Computer Science, Library and Information Sciences, Arts and Humanities (miscellaneous), Management Science and Operations Research, Control and Systems Engineering, Agricultural and Biological Sciences (all), Engineering (all), Information Systems, Computational Mathematics, Media Technology, Business and International Management, Mathematics (all), Computer Vision and Pattern Recognition, Human-Computer Interaction, Software, Computational Theory and Mathematics, Developmental and Educational Psychology, Statistics, Probability and Uncertainty, Information Systems and Management, Electrical and Electronic Engineering, Applied Mathematics, Computer Networks and Communications",2007-2021,Universidad del Cauca,Information Technology Research Group (GTI)
6,Francisco José Pino-Correa,Pino-Correa F.,57195195220,9-s2.0-57195195220,0000-0003-0668-4485,69,31/07/2017,615,986,18,61,update,"Computer Networks and Communications, Computational Theory and Mathematics, Information Systems, Law, Computer Vision and Pattern Recognition, Mathematics (all), Human-Computer Interaction, Media Technology, Engineering (all), Computer Graphics and Computer-Aided Design, Engineering (miscellaneous), Theoretical Computer Science, Education, Applied Mathematics, Business, Management and Accounting (all), Artificial Intelligence, Computer Science (all), Computer Science Applications, Signal Processing, Software, Hardware and Architecture, Business and International Management, Information Systems and Management, Safety, Risk, Reliability and Quality, Electrical and Electronic Engineering, Strategy and Management",2006-2020,Universidad del Cauca,""
7,José L. Arciniegas H.,Arciniegas H. J.,22333375600,9-s2.0-22333375600,0000-0002-1310-9123,67,27/10/2007,145,168,7,86,update,"Agricultural and Biological Sciences (all), Materials Science (all), Electrical and Electronic Engineering, Safety, Risk, Reliability and Quality, Education, Computer Science Applications, Civil and Structural Engineering, Hardware and Architecture, Building and Construction, Social Sciences (miscellaneous), Geotechnical Engineering and Engineering Geology, Business, Management and Accounting (all), Condensed Matter Physics, Software, Chemistry (all), Engineering (all), Control and Systems Engineering, Computer Science (all), Human-Computer Interaction, Strategy and Management, Media Technology, Multidisciplinary, Information Systems, Artificial Intelligence, Food Science, Industrial and Manufacturing Engineering, Computer Vision and Pattern Recognition, Computer Networks and Communications, Ceramics and Composites, Computational Theory and Mathematics, Theoretical Computer Science, Applied Mathematics, Biochemistry, Genetics and Molecular Biology (all), Mathematics (all), Information Systems and Management, Chemical Engineering (all), Energy (all)",2003-2021,Universidad del Cauca,Departamento de Telemática
8,Gustavo Adolfo Ramírez-González,Ramírez-González G.,36603157500,9-s2.0-36603157500,0000-0002-1338-8820,64,07/11/2010,1217,1397,18,143,update,"Computer Science (all), Pharmacology, Toxicology and Pharmaceutics (all), Environmental Science (all), Energy Engineering and Power Technology, Experimental and Cognitive Psychology, Library and Information Sciences, Condensed Matter Physics, Computer Science (miscellaneous), Biotechnology, Renewable Energy, Sustainability and the Environment, Signal Processing, Physics and Astronomy (miscellaneous), Industrial and Manufacturing Engineering, Immunology and Microbiology (all), Radiation, Plant Science, Instrumentation, Biochemistry, Genetics and Molecular Biology (all), Computational Theory and Mathematics, Geometry and Topology, Materials Science (all), Modeling and Simulation, Building and Construction, Computer Vision and Pattern Recognition, Social Sciences (all), Information Systems, Theoretical Computer Science, Electrical and Electronic Engineering, Strategy and Management, Food Science, Applied Mathematics, Artificial Intelligence, Human-Computer Interaction, Cognitive Neuroscience, Software, Analytical Chemistry, Mathematics (all), Computer Science Applications, Engineering (all), Environmental Science (miscellaneous), Management, Monitoring, Policy and Law, Education, Biochemistry, Communication, Control and Systems Engineering, Hardware and Architecture, Medicine (all), Information Systems and Management, Computer Networks and Communications, Soil Science, Chemistry (miscellaneous), Atomic and Molecular Physics, and Optics, Geography, Planning and Development",2006-2021,Universidad del Cauca,""
9,Jose Andres Calvache,Calvache J.,57101084800,9-s2.0-57101084800,0000-0001-9421-3717,54,16/02/2016,233,241,7,1209,update,"Microbiology (medical), Critical Care and Intensive Care Medicine, Pharmacology (medical), Oncology, Radiology, Nuclear Medicine and Imaging, Health (social science), Clinical Biochemistry, Pediatrics, Perinatology and Child Health, Epidemiology, Health Policy, Internal Medicine, Infectious Diseases, Leadership and Management, Surgery, Multidisciplinary, Biochemistry, Medicine (all), Obstetrics and Gynecology, Public Health, Environmental and Occupational Health, Anesthesiology and Pain Medicine, Medicine (miscellaneous), Orthopedics and Sports Medicine, Emergency Medicine",2006-2021,"Universidad del Cauca, Erasmus MC","Department of Anesthesiology, Department of Anesthesiology"
10,O. Caicedo,Caicedo O.,57214098924,9-s2.0-57214098924,0000-0003-2223-947X,52,30/01/2020,513,601,7,92,update,"Communication, Information Systems and Management, Control and Systems Engineering, Instrumentation, Immunology and Microbiology (all), Strategy and Management, Atomic and Molecular Physics, and Optics, Engineering (all), Fluid Flow and Transfer Processes, Materials Science (all), Control and Optimization, Information Systems, Electrical and Electronic Engineering, Computer Science (all), Medicine (all), Artificial Intelligence, Software, Pharmacology, Toxicology and Pharmaceutics (all), Computer Networks and Communications, Safety, Risk, Reliability and Quality, Biochemistry, Media Technology, Analytical Chemistry, Signal Processing, Process Chemistry and Technology, Health Informatics, Computer Science Applications, Mathematics (all), Hardware and Architecture, Biochemistry, Genetics and Molecular Biology (all)",2005-2021,Universidad del Cauca,""
11,Julio Ariel Hurtado Alegría,Hurtado Alegría J.,54405537300,9-s2.0-54405537300,0000-0002-2508-0962,52,07/12/2011,181,221,8,66,update,"Computer Networks and Communications, Urban Studies, Information Systems, Bioengineering, Fluid Flow and Transfer Processes, Control and Systems Engineering, Engineering (all), Human-Computer Interaction, Business, Management and Accounting (all), Computer Science (all), Artificial Intelligence, Computer Vision and Pattern Recognition, Modeling and Simulation, Materials Science (all), Computer Science Applications, Process Chemistry and Technology, Software, Signal Processing, Safety, Risk, Reliability and Quality, Theoretical Computer Science, Education, Electrical and Electronic Engineering, Instrumentation, Health Informatics, Transportation, Information Systems and Management, Law, Hardware and Architecture, Biomedical Engineering, Biotechnology, Mathematics (all), Applied Microbiology and Biotechnology",2006-2021,Universidad del Cauca,""
12,Carlos Hernán Sierra-Tórres,Sierra-Tórres C.,6603080549,9-s2.0-6603080549,0000-0002-4160-9555,47,01/12/2005,872,998,16,94,update,"Environmental Chemistry, Public Health, Environmental and Occupational Health, Health Policy, Biochemistry, Genetics and Molecular Biology (all), Waste Management and Disposal, Health Information Management, Molecular Biology, Pathology and Forensic Medicine, Endocrinology, Diabetes and Metabolism, Medicine (all), Obstetrics and Gynecology, Pharmacology (medical), Endocrinology, Biomedical Engineering, Biotechnology, Applied Microbiology and Biotechnology, Microbiology (medical), Toxicology, Epidemiology, Cancer Research, Genetics (clinical), Genetics, Pharmacology, Toxicology and Pharmaceutics (all), Health Informatics, Gastroenterology, Water Science and Technology, Environmental Science (all), Cardiology and Cardiovascular Medicine, Infectious Diseases, Geography, Planning and Development, Oncology, Health, Toxicology and Mutagenesis",1998-2021,Universidad del Cauca,Grupo de Investigación en Genética Humana Aplicada
13,César Jesús Pardo-Calvache,Pardo-Calvache C.,57224970103,9-s2.0-57224970103,0000-0002-6907-2905,46,02/07/2021,224,351,9,53,update,"Computational Theory and Mathematics, Human-Computer Interaction, Information Systems and Management, Artificial Intelligence, Law, Computer Science (all), Business, Management and Accounting (all), Software, Computer Graphics and Computer-Aided Design, Applied Mathematics, Strategy and Management, Theoretical Computer Science, Computer Networks and Communications, Computer Science Applications, Engineering (all), Signal Processing, Information Systems, Business and International Management, Hardware and Architecture, Computer Vision and Pattern Recognition, Management of Technology and Innovation, Computer Science (miscellaneous), Mathematics (all)",2007-2020,Universidad del Cauca,Grupo de Investigación GTI
404,Aida Patricia González Nieva,Nieva A.,57193880080,9-s2.0-57193880080,"",2,17/04/2017,1,1,1,4,update,"Analysis, Applied Mathematics, Chemistry (all)",2016-2017,Universidad del Cauca,Department of Mathematics
14,Héctor Samuel Villada-Castillo,Villada-Castillo H.,16040915900,9-s2.0-16040915900,0000-0002-5557-3215,44,24/03/2007,196,214,8,71,update,"Instrumentation, Agricultural and Biological Sciences (all), Molecular Biology, Fluid Flow and Transfer Processes, Chemical Engineering (all), Geography, Planning and Development, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Computer Science (all), Strategy and Management, Food Science, Polymers and Plastics, Materials Science (all), Business and International Management, Applied Microbiology and Biotechnology, Management of Technology and Innovation, Business, Management and Accounting (all), Organic Chemistry, Multidisciplinary, Energy (all), Engineering (miscellaneous), Management Science and Operations Research, Education, Geotechnical Engineering and Engineering Geology, Biochemistry, Cultural Studies, Chemistry (all), Engineering (all), Management, Monitoring, Policy and Law, Social Psychology, Process Chemistry and Technology, Structural Biology, Industrial and Manufacturing Engineering, Biotechnology, Computer Science Applications",2006-2021,Universidad del Cauca,""
15,Hugo Ordòñez,Ordòñez H.,56203696300,9-s2.0-56203696300,0000-0002-3465-5617,43,24/06/2014,82,96,5,57,update,"Signal Processing, Business and International Management, Control and Optimization, Computer Vision and Pattern Recognition, Management Information Systems, Mathematics (all), Hardware and Architecture, Modeling and Simulation, Software, Human-Computer Interaction, Biochemistry, Genetics and Molecular Biology (all), Artificial Intelligence, Medicine (all), Engineering (all), Information Systems and Management, Control and Systems Engineering, Computer Science (all), Theoretical Computer Science, Electrical and Electronic Engineering, Safety, Risk, Reliability and Quality, Agricultural and Biological Sciences (all), Computer Science Applications, Information Systems, Computer Networks and Communications",2014-2020,Universidad del Cauca,""
16,Jhon Jairo Bravo,Bravo J.,55567562300,9-s2.0-55567562300,"",42,01/02/2013,155,295,9,16,update,"Control and Optimization, Applied Mathematics, Mathematics (miscellaneous), Geometry and Topology, Mathematics (all), Engineering (miscellaneous), Numerical Analysis, Discrete Mathematics and Combinatorics, Computer Science (miscellaneous), Algebra and Number Theory, Analysis",2013-2021,Universidad del Cauca,Department of Mathematics
17,Maximiliano Bueno-López,Bueno-López M.,57209179810,9-s2.0-57209179810,0000-0002-7959-9962,41,11/06/2019,106,125,7,65,update,"Health (social science), Automotive Engineering, Cellular and Molecular Neuroscience, Modeling and Simulation, Safety, Risk, Reliability and Quality, Control and Optimization, Applied Mathematics, Electrical and Electronic Engineering, Sensory Systems, Energy Engineering and Power Technology, Safety Research, Computer Science Applications, Theoretical Computer Science, Renewable Energy, Sustainability and the Environment, Neuroscience (all), Bioengineering, Mathematics (all), Computer Networks and Communications, Information Systems, Cognitive Neuroscience, Fuel Technology, Agricultural and Biological Sciences (miscellaneous), Computer Science (all), Biomedical Engineering, Software, Industrial and Manufacturing Engineering, Social Sciences (all), Mechanical Engineering, Condensed Matter Physics, Decision Sciences (miscellaneous), Control and Systems Engineering, Artificial Intelligence, Engineering (all)",2002-2021,Universidad del Cauca,""
18,Martha Eliana Mendoza,Mendoza M.,35836267800,9-s2.0-35836267800,0000-0003-4033-2934,39,01/05/2010,324,369,9,67,update,"Computer Science Applications, Materials Science (all), Information Systems, Media Technology, Building and Construction, Management Information Systems, Biochemistry, Genetics and Molecular Biology (all), Arts and Humanities (miscellaneous), Software, Theoretical Computer Science, Developmental and Educational Psychology, Computational Theory and Mathematics, Information Systems and Management, Management Science and Operations Research, Artificial Intelligence, Library and Information Sciences, Engineering (all), Computer Networks and Communications, Control and Systems Engineering, Applied Mathematics, Computer Science (all)",2005-2020,Universidad del Cauca,Departamento de Sistemas
19,Carolina Gonzalez,Gonzalez C.,13104340800,9-s2.0-13104340800,"",38,23/05/2006,152,158,6,37,update,"Biotechnology, Applied Microbiology and Biotechnology, Computer Science (all), Modeling and Simulation, Engineering (all), Biochemistry, Genetics and Molecular Biology (all), Health Informatics, Biomedical Engineering, Theoretical Computer Science, Education, Software, Media Technology, Bioengineering, Computer Science Applications, Health Information Management, Biophysics",2004-2021,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
20,Carlos Felipe Rengifo Rodas,Rengifo Rodas C.,55216602900,9-s2.0-55216602900,0000-0002-0601-3481,36,22/05/2012,92,107,5,39,update,"Mathematics (all), Software, Industrial and Manufacturing Engineering, Multidisciplinary, Bioengineering, Control and Systems Engineering, Physics and Astronomy (all), Strategy and Management, Artificial Intelligence, Engineering (all), Mechanical Engineering, Computer Networks and Communications, Civil and Structural Engineering, Physiology (medical), Computer Science (all), Control and Optimization, Modeling and Simulation, Hardware and Architecture, Electrical and Electronic Engineering, Education, Environmental Science (all), Energy Engineering and Power Technology, Nursing (all), Instrumentation, Energy (all), Biomedical Engineering, Renewable Energy, Sustainability and the Environment, Computer Science Applications, Signal Processing",2008-2022,Universidad del Cauca,""
21,Oscar Andrés Vivas,Vivas O.,55664634200,9-s2.0-55664634200,0000-0001-5381-8234,35,09/05/2013,235,270,7,50,update,"Engineering (all), Radiology, Nuclear Medicine and Imaging, Mechanical Engineering, Biomaterials, Mathematics (all), Health Information Management, Software, Building and Construction, Computer Vision and Pattern Recognition, Health Informatics, Information Systems and Management, Computer Science (all), Medicine (miscellaneous), Electrical and Electronic Engineering, Safety, Risk, Reliability and Quality, Computer Graphics and Computer-Aided Design, Artificial Intelligence, Human-Computer Interaction, Biomedical Engineering, Control and Optimization, Chemical Health and Safety, Decision Sciences (miscellaneous), Control and Systems Engineering, Computer Science Applications, Industrial and Manufacturing Engineering, Signal Processing",2003-2021,Universidad del Cauca,""
22,Cristóbal Gnecco,Gnecco C.,6603164886,9-s2.0-6603164886,"",31,01/12/2005,215,251,9,14,update,"Cultural Studies, Geography, Planning and Development, Earth and Planetary Sciences (all), Archeology, Arts and Humanities (all), Social Sciences (all), Earth-Surface Processes, History, Archeology (arts and humanities), Arts and Humanities (miscellaneous), Anthropology",1994-2019,Universidad del Cauca,Department of Anthropology
43,Ángela María Merchán-Galvis,Merchán-Galvis Á.,55530756200,9-s2.0-55530756200,0000-0003-2375-5513,16,26/12/2012,42,43,4,119,update,"Anesthesiology and Pain Medicine, Radiology, Nuclear Medicine and Imaging, Oncology, Gastroenterology, Psychiatry and Mental Health, Gerontology, Clinical Psychology, Cancer Research, Critical Care and Intensive Care Medicine, Geriatrics and Gerontology, Emergency Medicine, Medicine (all), Health Policy, Pediatrics, Perinatology and Child Health, Education, Surgery",2013-2021,Universidad del Cauca,""
23,Rubiel Vargas Canas,Vargas Canas R.,35753897400,9-s2.0-35753897400,0000-0003-1548-942X,31,09/04/2010,48,51,4,34,update,"Nursing (all), Neurology, Instrumentation, Computational Theory and Mathematics, Mechanical Engineering, Medicine (all), Computer Networks and Communications, Fluid Flow and Transfer Processes, Physiology, Engineering (all), Signal Processing, Computer Science Applications, Process Chemistry and Technology, Cognitive Neuroscience, Health Information Management, Biomedical Engineering, Theoretical Computer Science, Health Informatics, Bioengineering, Computer Science (all), Computer Vision and Pattern Recognition, Multidisciplinary, Materials Science (all), Public Health, Environmental and Occupational Health, Artificial Intelligence, Physiology (medical), Building and Construction, Software",2009-2022,Universidad del Cauca,""
24,Wilber Acuna-Bravo,Acuna-Bravo W.,24528423700,9-s2.0-24528423700,0000-0002-6388-3897,31,20/08/2008,118,140,6,30,update,"Pharmacology (medical), Computer Networks and Communications, Computational Mathematics, Applied Mathematics, Industrial and Manufacturing Engineering, Computational Mechanics, Mechanical Engineering, Artificial Intelligence, Instrumentation, Engineering (all), Physical Therapy, Sports Therapy and Rehabilitation, Energy Engineering and Power Technology, Control and Systems Engineering, Electrical and Electronic Engineering, Signal Processing, Computer Science (all), Mathematics (all), Modeling and Simulation, Computer Science Applications, Renewable Energy, Sustainability and the Environment, Control and Optimization, Pharmacology",2007-2021,Universidad del Cauca,""
25,Gilberto Bolaños-Pantoja,Bolaños-Pantoja G.,6701335294,9-s2.0-6701335294,"",30,03/12/2005,115,120,7,62,update,"Electronic, Optical and Magnetic Materials, Materials Chemistry, Chemistry (all), Control and Systems Engineering, Metals and Alloys, Engineering (all), Mechanics of Materials, Mechanical Engineering, Hardware and Architecture, Civil and Structural Engineering, Materials Science (all), Surfaces, Coatings and Films, Building and Construction, Ceramics and Composites, Process Chemistry and Technology, Physics and Astronomy (all), Atomic and Molecular Physics, and Optics, Electrical and Electronic Engineering, Condensed Matter Physics",1990-2020,Universidad del Cauca,Laboratorio de Bajas Temperaturas
26,Apolinar Figueroa-Casas,Figueroa-Casas A.,56419849400,9-s2.0-56419849400,0000-0003-3586-8187,29,28/11/2014,209,236,7,57,update,"Renewable Energy, Sustainability and the Environment, Computer Vision and Pattern Recognition, Management of Technology and Innovation, Computer Science (all), Industrial and Manufacturing Engineering, Multidisciplinary, Computers in Earth Sciences, Management, Monitoring, Policy and Law, Soil Science, Business and International Management, Statistics, Probability and Uncertainty, Information Systems, Pollution, Strategy and Management, Geography, Planning and Development, Environmental Science (all), Theoretical Computer Science, Agronomy and Crop Science, Earth and Planetary Sciences (miscellaneous), Insect Science, Information Systems and Management, Environmental Engineering, Instrumentation, Microbiology, Computational Theory and Mathematics, Nature and Landscape Conservation, Forestry, Management Information Systems, Environmental Chemistry, Modeling and Simulation, Signal Processing, Materials Science (all), Computer Science Applications, Earth-Surface Processes, Control and Systems Engineering, Education, Engineering (all), Chemistry (all), Management Science and Operations Research, Atmospheric Science, Waste Management and Disposal",2011-2021,Universidad del Cauca,""
27,Mario Francisco Delgado-Noguera,Delgado-Noguera M.,24831578700,9-s2.0-24831578700,0000-0002-1163-2041,29,27/09/2008,602,623,10,95,update,"Endocrinology, Obstetrics and Gynecology, Nutrition and Dietetics, Critical Care and Intensive Care Medicine, Public Health, Environmental and Occupational Health, Emergency Medicine, Medicine (all), Medicine (miscellaneous), Endocrinology, Diabetes and Metabolism, Surgery, Health Policy, Epidemiology, Anesthesiology and Pain Medicine, Pediatrics, Perinatology and Child Health, Pharmacology (medical)",2002-2021,Universidad del Cauca,""
28,David Camilo Corrales,Corrales D.,56695220700,9-s2.0-56695220700,0000-0003-4717-3040,27,01/07/2015,115,169,8,38,update,"Control and Systems Engineering, Statistics, Probability and Uncertainty, Engineering (all), Information Systems, Instrumentation, Information Systems and Management, Statistics and Probability, Fluid Flow and Transfer Processes, Management Information Systems, Forestry, Signal Processing, Agronomy and Crop Science, Computer Science Applications, Computer Science (miscellaneous), Mathematics (all), Theoretical Computer Science, Mechanics of Materials, Process Chemistry and Technology, Physics and Astronomy (miscellaneous), Plant Science, Electrical and Electronic Engineering, Human-Computer Interaction, Chemistry (miscellaneous), Materials Science (all), Artificial Intelligence, Computer Vision and Pattern Recognition, Biomaterials, Control and Optimization, Horticulture, Software, Computer Science (all), Modeling and Simulation",2015-2022,"AGroécologie, Innovations, teRritoires - (AGIR), Universidad del Cauca"," , Telematics Engineering Research Group"
29,Luisa F. Escobar-Hoyos,Escobar-Hoyos L.,55638036500,9-s2.0-55638036500,"",27,09/04/2013,309,403,12,156,update,"Immunology and Microbiology (all), Radiology, Nuclear Medicine and Imaging, Waste Management and Disposal, Genetics (clinical), Pathology and Forensic Medicine, Multidisciplinary, Medicine (all), Civil and Structural Engineering, Public Health, Environmental and Occupational Health, Histology, Genetics, Toxicology, Cancer Research, Biochemistry, Water Science and Technology, Health, Toxicology and Mutagenesis, Oncology, Cellular and Molecular Neuroscience, Molecular Medicine, Epidemiology, Ecological Modeling, Biochemistry, Genetics and Molecular Biology (all), Neuroscience (all), Medical Laboratory Technology, Biomedical Engineering, Pollution, Cell Biology, Environmental Engineering, Otorhinolaryngology",2013-2021,"Yale University, Universidad del Cauca, Yale School of Medicine, Renaissance School of Medicine at Stony Brook University","Department of Molecular Biophysics and Biochemistry, Department of Biology,  ,  "
30,S. T. Pérez-Merchancano,Pérez-Merchancano S.,6603106663,9-s2.0-6603106663,"",25,01/12/2005,494,656,6,19,update,"Electrical and Electronic Engineering, Physics and Astronomy (miscellaneous), Materials Science (all), Atomic and Molecular Physics, and Optics, Physical and Theoretical Chemistry, Control and Systems Engineering, Physics and Astronomy (all), Education, Electronic, Optical and Magnetic Materials, Surfaces, Coatings and Films, Condensed Matter Physics",1992-2019,Universidad del Cauca,Grupo de Semiconductores y Nuevos Materiales
44,Diana María Chito-Trujillo,Chito-Trujillo D.,35223058000,9-s2.0-35223058000,0000-0003-2163-6561,16,27/12/2009,100,134,6,33,update,"Public Health, Environmental and Occupational Health, Food Science, Analytical Chemistry, Electrochemistry, Condensed Matter Physics, Environmental Chemistry, Microbiology, Environmental Engineering, Clinical Biochemistry, Nutrition and Dietetics, Pollution, Ceramics and Composites, Chemical Engineering (all), Waste Management and Disposal, Health Professions  (miscellaneous), Biochemistry, Safety, Risk, Reliability and Quality, Chemistry (all), Industrial and Manufacturing Engineering, Health (social science), Plant Science, Agricultural and Biological Sciences (all)",2010-2021,Universidad del Cauca,""
31,José Fernando Solanilla-Duque,Solanilla-Duque J.,56010510500,9-s2.0-56010510500,0000-0001-6664-9134,25,09/02/2014,241,251,6,53,update,"Molecular Biology, Engineering (all), Biotechnology, Agronomy and Crop Science, Materials Science (all), Building and Construction, Engineering (miscellaneous), Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Health Professions  (miscellaneous), Biochemistry, Genetics and Molecular Biology (miscellaneous), Organic Chemistry, Animal Science and Zoology, Microbiology, Horticulture, Food Science, Agricultural and Biological Sciences (miscellaneous), Agricultural and Biological Sciences (all), Analytical Chemistry, Applied Microbiology and Biotechnology, Pharmacology, Health (social science), Forestry, Structural Biology, Environmental Science (miscellaneous), Industrial and Manufacturing Engineering, Biochemistry, Plant Science, Drug Discovery",2011-2021,Universidad del Cauca,""
32,Alfonso E. Ramírez,Ramírez A.,54405825100,9-s2.0-54405825100,0000-0002-7557-4047,25,07/12/2011,214,217,9,86,update,"Organic Chemistry, Biochemistry, Materials Chemistry, Condensed Matter Physics, Pollution, Mechanics of Materials, Biotechnology, Renewable Energy, Sustainability and the Environment, Catalysis, Surfaces, Coatings and Films, Metals and Alloys, Drug Discovery, Chemistry (all), Process Chemistry and Technology, Industrial and Manufacturing Engineering, Chemical Engineering (all), Electronic, Optical and Magnetic Materials, Waste Management and Disposal, Physics and Astronomy (all), Fuel Technology, Inorganic Chemistry, Mechanical Engineering, Engineering (all), Surfaces and Interfaces, Food Science, Multidisciplinary, Physical and Theoretical Chemistry, Materials Science (all)",2002-2021,Universidad del Cauca,Department of Chemistry
33,Edgar Holguín,Holguín E.,6701829117,9-s2.0-6701829117,"",23,03/12/2005,42,52,4,29,update,"Electrical and Electronic Engineering, Physics and Astronomy (all), Surfaces, Coatings and Films, Engineering (all), Surfaces and Interfaces, Materials Science (all), Electronic, Optical and Magnetic Materials, Physics and Astronomy (miscellaneous), Condensed Matter Physics",1982-1997,Universidad del Cauca,""
34,Hernando Vargas-Uricoechea,Vargas-Uricoechea H.,55966016600,9-s2.0-55966016600,"",21,28/12/2013,197,202,9,64,update,"Microbiology (medical), Physiology (medical), Pharmacology (medical), Food Science, Emergency Medicine, Cardiology and Cardiovascular Medicine, Endocrinology, Molecular Biology, Medicine (all), Infectious Diseases, Nutrition and Dietetics, Endocrinology, Diabetes and Metabolism, Internal Medicine, Endocrine and Autonomic Systems",2013-2021,Universidad del Cauca,Department of Internal Medicine
